customer_id,first_name,last_name,email,date_joined,age_years,country,segment
66,James,Johnson,traceycarr@example.org,2023-02-19,27,Korea,regular
67,Robert,Soto,jennifercruz@example.com,2021-12-07,41,Ecuador,one_time
68,Dylan,Watts,osbornejeffery@example.net,2018-09-26,66,Maldives,frequent
69,Steven,Grant,bryantlaurie@example.net,2019-05-31,28,Marshall Islands,frequent
70,Vanessa,Larson,usalazar@example.net,2024-03-04,52,Japan,occasional
71,Maria,Kelley,juliawells@example.com,2021-08-15,67,Sao Tome and Principe,occasional
72,John,Walsh,rsims@example.com,2018-01-30,51,Belarus,one_time
73,Jennifer,Young,luis81@example.org,2018-11-20,18,Canada,occasional
74,Jesse,Benson,calebrussell@example.net,2022-02-13,56,Lao People's Democratic Republic,occasional
75,Robert,Clark,xprice@example.net,2018-01-17,38,Yemen,regular
76,Heather,Gates,wwoods@example.com,2019-05-28,49,Sao Tome and Principe,one_time
77,Peter,Snow,vmedina@example.net,2021-04-08,19,South Georgia and the South Sandwich Islands,occasional
78,Carrie,Walker,joshuatucker@example.com,2022-05-15,25,Guadeloupe,occasional
79,Elizabeth,Yates,marycalhoun@example.net,2022-01-07,41,Martinique,regular
80,Anthony,Long,millerroy@example.com,2019-12-17,74,Cocos (Keeling) Islands,one_time
81,Brent,Gray,shawnrogers@example.com,2022-07-18,71,Fiji,occasional
82,Karen,Decker,mary70@example.net,2020-01-27,69,Mauritius,regular
83,Brett,Crane,debraharrington@example.net,2020-05-22,37,Armenia,frequent
84,Karen,Herring,maryhowell@example.org,2022-11-05,33,Brunei Darussalam,occasional
85,Thomas,Wilson,stevenscott@example.com,2021-12-31,21,Chad,occasional
86,Catherine,Stuart,stricklandfrank@example.com,2023-09-29,33,Botswana,regular
87,Beth,Hickman,tsanders@example.org,2022-01-25,74,Belarus,one_time
88,Brittany,Rivas,curtisbarton@example.net,2021-05-09,54,Netherlands Antilles,regular
89,Linda,Hogan,reedross@example.com,2018-10-26,23,Bangladesh,occasional
90,William,Peterson,gshort@example.com,2020-07-06,23,Guyana,one_time
91,Cynthia,Poole,ryangross@example.net,2020-03-19,64,Faroe Islands,occasional
92,Christina,Gillespie,umarshall@example.net,2020-02-18,49,Ethiopia,occasional
93,Marcus,Sanchez,ramirezshannon@example.com,2024-10-27,70,Montenegro,occasional
94,Cheryl,Gray,snydermark@example.com,2020-08-02,22,Croatia,regular
95,Michael,Green,nicole48@example.org,2024-02-12,66,Maldives,one_time
96,Stacy,Miller,wfreeman@example.org,2021-11-02,52,Portugal,occasional
97,Thomas,Joseph,fmcguire@example.com,2023-04-08,67,Cyprus,one_time
98,Richard,Sanchez,thomas85@example.com,2021-01-24,26,Samoa,regular
99,Andrea,Bell,qnelson@example.org,2021-05-23,26,British Indian Ocean Territory (Chagos Archipelago),regular
100,Jennifer,Stewart,jamesrodgers@example.com,2021-01-08,60,Saint Kitts and Nevis,frequent
101,Brittany,Wolf,tina34@example.org,2019-09-15,48,Guyana,occasional
102,Harry,Smith,joshuamccann@example.net,2022-08-20,53,French Guiana,occasional
103,Heidi,Martinez,agarcia@example.net,2020-04-05,28,Finland,one_time
104,Taylor,Alexander,tammyking@example.com,2018-03-19,34,Brazil,occasional
105,Lynn,Morales,rayglenda@example.org,2021-12-18,51,Canada,one_time
106,Lisa,Avery,mcknightdavid@example.com,2019-07-19,73,New Caledonia,regular
107,Caitlin,Montgomery,chayes@example.com,2024-07-16,56,Tokelau,one_time
108,Brianna,Patterson,lynchjody@example.org,2024-08-28,45,Niue,one_time
109,Jason,Guerrero,johnarnold@example.org,2024-04-25,31,Afghanistan,one_time
110,Ricky,Norris,ocarter@example.com,2020-07-09,52,Romania,one_time
111,Justin,Heath,mcdanielsandra@example.net,2018-02-19,66,Namibia,one_time
112,Donna,Peck,owilson@example.net,2024-06-07,64,Canada,occasional
113,Rebekah,Serrano,brownlaura@example.net,2020-09-27,62,San Marino,regular
114,Madison,Morse,smartinez@example.com,2024-10-07,30,Reunion,frequent
115,Richard,Nelson,mkim@example.org,2024-09-27,63,Tuvalu,one_time
116,Ryan,Morris,anthony39@example.net,2023-10-11,37,Zambia,occasional
117,Andrew,Hubbard,barbara27@example.net,2020-04-19,43,Pakistan,one_time
118,Scott,Ramirez,fwalters@example.org,2020-07-25,60,Latvia,occasional
119,Michael,Cook,hodgemark@example.net,2023-10-05,59,Lithuania,regular
120,Keith,Landry,gibsonleonard@example.com,2020-05-13,41,Brazil,regular
121,Tara,Powell,sandovalamy@example.com,2019-06-25,46,Austria,occasional
122,Jacob,Cox,wgarrett@example.org,2021-04-21,75,Costa Rica,occasional
123,Joseph,Anderson,samuel71@example.org,2024-07-02,51,Norfolk Island,regular
124,Chelsea,Allen,lancesmith@example.com,2022-05-28,46,Bermuda,occasional
125,Jeffrey,Skinner,murraydavid@example.org,2021-05-12,25,Luxembourg,frequent
126,Sarah,Carter,robert77@example.org,2018-11-06,33,Korea,occasional
127,Andrea,Reyes,michellehill@example.com,2021-09-11,32,Guam,regular
128,Sarah,Romero,campbellkenneth@example.net,2024-12-21,22,Mozambique,one_time
129,Yolanda,Burns,seanwashington@example.com,2019-03-23,39,Micronesia,occasional
130,Kathryn,Bennett,molly39@example.com,2021-02-18,19,Djibouti,occasional
131,Melissa,Jenkins,julie66@example.net,2023-12-27,55,Somalia,frequent
132,Lori,Pollard,ihanna@example.net,2022-10-18,53,Nauru,frequent
133,Martin,Garcia,dgarcia@example.org,2022-05-31,32,Saint Helena,occasional
134,Douglas,Pitts,charlesharrington@example.com,2022-06-17,55,Guadeloupe,occasional
135,Cindy,Sanders,christianmelissa@example.net,2020-06-27,32,Hong Kong,occasional
136,Stephanie,Sims,cbrennan@example.net,2020-04-18,18,Bangladesh,regular
137,Jimmy,Cohen,wendy16@example.org,2023-05-24,22,Senegal,occasional
138,Cynthia,Brennan,tjackson@example.org,2023-05-27,63,Aruba,one_time
139,Mark,Brown,nicholas23@example.net,2023-11-24,58,Isle of Man,one_time
140,Ashlee,Sparks,gregorylynch@example.com,2024-04-20,21,Niger,frequent
141,Felicia,Jimenez,jesselittle@example.com,2021-02-07,32,Equatorial Guinea,occasional
142,Elizabeth,Nolan,rsantana@example.net,2021-01-22,22,Cayman Islands,regular
143,Charles,Landry,danielle64@example.com,2023-04-19,75,Tanzania,regular
144,Kevin,Kidd,yrodriguez@example.net,2022-01-01,20,Guinea-Bissau,one_time
145,Bailey,Haney,andrew64@example.org,2022-06-16,73,Mongolia,regular
146,Michelle,Osborne,lozanojulie@example.com,2023-04-11,39,Singapore,occasional
147,Lauren,Lawson,jeffery39@example.com,2024-02-06,22,Philippines,occasional
148,Karla,Saunders,courtneyberger@example.net,2020-06-05,50,Armenia,one_time
149,Kyle,Alexander,jessica14@example.com,2020-07-15,33,San Marino,occasional
150,Robert,Gonzalez,alyssa42@example.com,2018-10-27,35,United States Minor Outlying Islands,frequent
151,Makayla,Olson,julie51@example.com,2021-05-25,60,Belarus,occasional
152,Donald,Levy,zcoffey@example.net,2018-04-25,49,Haiti,occasional
153,Christopher,Foster,amanda75@example.net,2020-11-26,31,San Marino,frequent
154,Emily,Richards,daniel37@example.org,2021-03-29,52,Niger,occasional
155,Nicole,Hoffman,deborahreid@example.com,2020-04-11,26,United States of America,frequent
156,Jacqueline,Banks,taylorsophia@example.com,2021-06-26,64,Lithuania,frequent
157,Darren,Young,paulwatson@example.net,2018-04-08,74,Qatar,occasional
158,Sonya,Barnes,nicolepena@example.com,2018-04-30,54,Nicaragua,regular
159,Ricky,Lynn,vaughnjeff@example.com,2023-07-06,54,Zambia,occasional
160,Joel,Cox,amy50@example.com,2020-06-28,48,Falkland Islands (Malvinas),occasional
161,James,Martinez,ndavis@example.net,2019-02-10,33,Northern Mariana Islands,one_time
162,Carla,Smith,john29@example.org,2021-02-24,68,Bangladesh,regular
163,Maria,Spencer,lisahall@example.org,2023-01-19,48,Solomon Islands,regular
164,Rachel,Smith,vanessafernandez@example.org,2019-11-20,69,Bouvet Island (Bouvetoya),regular
165,Donna,Johnson,howardkristina@example.net,2021-10-07,44,Gibraltar,occasional
166,Alfred,Baker,judyfox@example.net,2018-09-30,30,Bahrain,one_time
167,Thomas,Strickland,hayesjeffrey@example.net,2018-06-14,24,Aruba,frequent
168,Jessica,Kerr,stephen00@example.com,2021-03-11,24,Tanzania,one_time
169,Richard,Parks,cjoseph@example.org,2021-03-26,60,United Arab Emirates,frequent
170,Christopher,Franklin,martinezclaudia@example.net,2021-11-22,45,Mexico,occasional
171,Jennifer,James,shawn96@example.org,2022-09-01,40,South Africa,one_time
172,Jacqueline,Farrell,russellbeasley@example.com,2024-11-05,45,Guadeloupe,one_time
173,Maria,Ross,edwardslarry@example.com,2021-02-15,44,Holy See (Vatican City State),one_time
174,Stephanie,Mcdaniel,fjones@example.org,2020-05-20,47,Jersey,one_time
175,Colin,Rodgers,angelawillis@example.net,2023-04-09,73,Monaco,occasional
176,Mark,Martinez,morgan60@example.com,2020-03-25,64,Netherlands Antilles,one_time
177,Larry,Garcia,ericolson@example.org,2020-10-15,21,Guernsey,frequent
178,Megan,Richardson,audrey68@example.net,2018-09-08,61,Nicaragua,one_time
179,Emily,Hawkins,anthony44@example.com,2018-03-22,59,Guernsey,occasional
180,Adam,Kane,vjones@example.net,2024-09-24,59,Antarctica (the territory South of 60 deg S),one_time
181,Christopher,Moreno,vbarnes@example.org,2023-08-17,24,Heard Island and McDonald Islands,occasional
182,Larry,Nguyen,wareeric@example.net,2022-05-28,21,Australia,occasional
183,Emily,Nelson,ctucker@example.com,2020-08-28,43,Faroe Islands,occasional
184,Jason,Hunt,russell49@example.com,2019-07-07,64,Malta,one_time
185,Elizabeth,Williams,djoyce@example.org,2019-05-15,39,Costa Rica,frequent
186,Kevin,Clark,kathrynroberts@example.org,2020-03-03,69,Albania,frequent
187,Tyler,Jordan,omarpadilla@example.net,2021-04-09,73,Monaco,regular
188,Martha,Drake,sandersjudy@example.com,2022-07-26,24,Andorra,regular
189,Steve,Miller,barbara96@example.net,2022-02-03,33,Northern Mariana Islands,one_time
190,Robert,Wilson,burchgeorge@example.net,2020-04-04,30,Kuwait,regular
191,Marilyn,Gillespie,kimdaniel@example.com,2024-08-31,30,Namibia,one_time
192,Richard,Miller,julie35@example.org,2022-10-08,52,Belarus,occasional
193,William,Wilson,rebeccabailey@example.net,2021-04-17,46,Svalbard & Jan Mayen Islands,regular
194,Debbie,Hernandez,thomasjames@example.net,2021-09-01,26,Cape Verde,one_time
195,Kathleen,Rios,stephanieburton@example.com,2020-09-14,45,Saudi Arabia,occasional
196,Anne,Riley,michelle52@example.com,2020-03-01,29,Bangladesh,occasional
197,Taylor,Welch,brittany58@example.org,2020-06-24,35,Georgia,occasional
198,Steven,Johnson,marie11@example.net,2022-12-11,47,Nepal,one_time
199,William,Ford,colelisa@example.net,2018-02-15,33,Comoros,regular
200,Marc,Alvarez,susanhayes@example.com,2019-01-06,73,Rwanda,one_time
201,Christopher,Lucas,wrightsamuel@example.com,2018-05-27,22,Malta,one_time
202,Alexandra,Moore,samantha66@example.com,2018-05-10,46,Philippines,occasional
203,Carla,Mccormick,cameron18@example.net,2023-10-18,69,Hungary,regular
204,Justin,Cummings,mathewaguilar@example.org,2022-06-21,73,United States Virgin Islands,occasional
205,Michael,Ponce,tanderson@example.org,2020-12-10,72,Georgia,frequent
206,Angelica,Schneider,lisa81@example.net,2018-11-09,53,Paraguay,frequent
207,Rodney,Cox,kyle35@example.com,2021-01-07,24,Congo,regular
208,Jeremy,Taylor,phillipskristin@example.net,2020-12-09,21,Sierra Leone,occasional
209,Amber,Rodgers,stanleynancy@example.net,2019-07-07,59,Bulgaria,one_time
210,Carla,Moore,mariewise@example.org,2020-10-06,52,Saint Helena,one_time
211,Samuel,Jenkins,tarabishop@example.net,2020-08-11,71,Slovenia,one_time
212,Shane,Ferguson,tammy73@example.com,2021-09-14,18,Philippines,occasional
213,Stacey,Joyce,xhammond@example.com,2021-11-14,23,Macao,occasional
214,Allison,Burch,laurietaylor@example.com,2018-05-25,66,Austria,occasional
215,Danielle,Sawyer,dawsonzachary@example.org,2020-07-14,72,Finland,one_time
216,Christopher,Martin,jwhitehead@example.com,2021-10-16,33,Bermuda,frequent
217,Stacey,Walker,bwilkerson@example.com,2021-01-25,28,Austria,one_time
218,Randy,Brooks,xvang@example.org,2023-10-22,44,Antarctica (the territory South of 60 deg S),occasional
219,Lucas,Garcia,lacey20@example.com,2022-01-29,49,United States Virgin Islands,occasional
220,Maria,Horton,katherineharrison@example.net,2019-06-04,48,Albania,one_time
221,Rebecca,Smith,marydunn@example.net,2018-08-14,31,New Caledonia,occasional
222,Allison,Rodriguez,john10@example.org,2021-12-08,73,Italy,one_time
223,Danielle,Dean,rodriguezrebecca@example.net,2018-03-26,43,Mauritania,one_time
224,Allen,Robertson,jennifercarter@example.org,2021-06-10,75,Nicaragua,occasional
225,Michael,Duncan,elizabethmiller@example.com,2024-07-15,21,Bangladesh,regular
226,Stephanie,Stephens,myerstheodore@example.net,2021-05-20,28,Iceland,occasional
227,Tina,King,kellycarlos@example.org,2020-07-28,42,Saint Martin,one_time
228,Diane,Garcia,dennis58@example.com,2021-12-11,18,Suriname,regular
229,Dawn,Greer,epollard@example.net,2020-11-14,42,Cocos (Keeling) Islands,occasional
230,Lisa,Brown,mjohnson@example.org,2021-04-03,34,Somalia,occasional
231,James,Williams,zachary87@example.com,2024-07-19,68,Argentina,one_time
232,Karen,Lee,michelle05@example.com,2020-07-26,68,British Virgin Islands,regular
233,Lauren,Kim,ypaul@example.com,2024-09-20,47,Colombia,one_time
234,Tyler,Jimenez,laurie61@example.com,2024-03-26,36,Netherlands,one_time
235,Wanda,White,manuel15@example.net,2019-09-17,45,French Polynesia,regular
236,Kirk,Morrison,cjackson@example.com,2018-08-10,62,Kiribati,regular
237,Bobby,Berg,christina64@example.net,2018-11-18,64,Somalia,one_time
238,Stacy,Jones,zcox@example.net,2018-02-28,68,Philippines,regular
239,Ernest,Johnson,ejohnson@example.org,2018-10-29,53,Slovakia (Slovak Republic),one_time
240,Deanna,Cox,jacobserika@example.com,2022-04-16,60,Holy See (Vatican City State),occasional
241,Scott,Jones,alyssasanders@example.net,2018-08-16,63,Fiji,regular
242,John,Wilson,victorhughes@example.net,2020-05-15,49,British Indian Ocean Territory (Chagos Archipelago),one_time
243,Jose,Green,nlewis@example.com,2023-09-15,27,Puerto Rico,occasional
244,Sabrina,Henry,taylorcharles@example.org,2018-03-16,30,United Arab Emirates,occasional
245,Jennifer,Osborn,elizabeth18@example.net,2023-06-10,36,French Guiana,occasional
246,Patricia,York,laurahicks@example.org,2020-04-06,31,Cook Islands,occasional
247,Laura,Young,jjohnson@example.net,2019-01-12,21,Heard Island and McDonald Islands,regular
248,Tanner,Bird,cherylmiller@example.com,2022-05-30,55,Indonesia,occasional
249,Yvonne,Higgins,khammond@example.org,2021-10-26,65,Brunei Darussalam,one_time
250,Teresa,Day,howens@example.com,2023-12-28,52,Brunei Darussalam,regular
251,Natalie,Deleon,katrinaanderson@example.net,2022-09-29,21,United States Minor Outlying Islands,occasional
252,Miranda,Guerra,kevinmartin@example.net,2023-05-06,65,Czech Republic,occasional
253,Michael,Everett,meghan43@example.net,2020-04-06,38,Zimbabwe,one_time
254,Andrea,Martinez,christina18@example.net,2019-07-21,21,Chile,regular
255,Brittany,Carpenter,donnale@example.net,2022-11-18,21,Guadeloupe,one_time
256,Megan,Elliott,millerstacy@example.net,2023-05-16,55,Estonia,occasional
257,Debra,Wang,bmontgomery@example.com,2024-12-22,48,Tuvalu,regular
258,Courtney,Roberts,timothy64@example.com,2020-09-03,50,Barbados,frequent
259,Haley,Moore,nwashington@example.com,2020-07-11,72,New Caledonia,regular
260,Douglas,Hensley,jessica56@example.org,2023-02-08,51,Senegal,occasional
261,Mitchell,Hoffman,john14@example.com,2020-06-08,28,Egypt,occasional
262,Donald,Williams,alin@example.org,2024-06-15,21,Tonga,one_time
263,Rachel,Li,james27@example.net,2023-10-28,50,Lao People's Democratic Republic,occasional
264,Victor,Parker,davisphillip@example.com,2020-09-29,23,Dominican Republic,regular
265,Jason,Gomez,campbellcarla@example.net,2022-11-19,72,Peru,occasional
266,Thomas,Herrera,jordannicole@example.net,2022-11-30,29,Haiti,one_time
267,Kathryn,Diaz,jwilliams@example.org,2018-11-25,22,Guyana,regular
268,Angela,Jones,rduran@example.net,2024-03-17,56,Pitcairn Islands,regular
269,Cheryl,Anderson,longlaura@example.com,2021-01-28,22,Moldova,frequent
270,Sheila,Fischer,carriemorales@example.org,2023-07-18,61,Aruba,one_time
271,Benjamin,Reeves,jstone@example.net,2020-05-16,73,Uganda,occasional
272,Zachary,Murphy,francisco94@example.net,2024-02-23,33,Guadeloupe,occasional
273,William,Hicks,terickson@example.com,2020-07-29,43,Suriname,one_time
274,Allen,Rivera,whitneybrandy@example.net,2018-02-04,25,Tunisia,one_time
275,Hailey,Johnson,pbaker@example.net,2024-03-26,74,Morocco,occasional
276,Jeremy,Williams,ojackson@example.net,2018-10-19,54,Niger,one_time
277,Kim,James,anthonyvaughan@example.org,2020-05-16,33,Comoros,regular
278,Andrew,Edwards,robertharris@example.net,2024-08-15,55,Singapore,regular
279,Cheryl,Ruiz,thorntonapril@example.net,2024-08-17,56,Greece,regular
280,Whitney,Mendoza,ledwards@example.com,2021-05-17,20,United States Minor Outlying Islands,frequent
281,Amanda,Payne,chelsea33@example.com,2021-11-04,57,Moldova,occasional
282,Kenneth,David,kellie37@example.com,2020-10-30,23,Lesotho,one_time
283,Michael,Peck,keith98@example.com,2020-04-18,44,Ukraine,frequent
284,Tina,Cardenas,kellyroberts@example.net,2020-05-26,60,Belgium,regular
285,Michael,Ramos,julie33@example.net,2022-03-14,55,Faroe Islands,occasional
286,Sarah,Horton,danielyang@example.org,2022-11-24,54,Ecuador,one_time
287,Brent,Stein,danawilliams@example.com,2023-03-29,51,Greenland,occasional
288,Jennifer,Garcia,adampierce@example.org,2023-03-22,38,Ireland,occasional
289,Denise,Gilmore,mwoods@example.com,2018-10-18,34,Gibraltar,frequent
290,Justin,Brown,pearsonjesse@example.net,2021-01-11,31,Saint Kitts and Nevis,regular
291,Melissa,Johnson,robertmonroe@example.org,2018-07-03,60,Taiwan,one_time
292,Randy,Simpson,nancy04@example.net,2021-04-09,63,Netherlands,one_time
293,Daniel,Bird,shawn88@example.com,2020-10-19,38,Tuvalu,frequent
294,Sheena,Rosales,znelson@example.org,2024-01-29,33,Greenland,one_time
295,Francisco,Stevens,jennifer05@example.com,2020-06-18,34,Montenegro,occasional
296,Emily,Lee,gwilcox@example.com,2019-01-09,43,Benin,one_time
297,Richard,Davis,thomasboyle@example.org,2019-04-02,26,Eritrea,occasional
298,Patrick,Griffin,stephanie49@example.net,2022-12-23,60,Montserrat,occasional
299,Alexander,Valdez,bryanwilson@example.com,2021-09-22,59,Cayman Islands,occasional
300,Richard,Shaw,hannah45@example.net,2018-11-19,37,Cyprus,occasional
301,Jeffrey,Anderson,spencerzhang@example.com,2018-09-26,47,Israel,regular
302,Jacqueline,Durham,kathleenbecker@example.net,2022-06-13,38,Tunisia,frequent
303,Kristin,Fox,christian91@example.org,2018-08-21,66,Switzerland,occasional
304,Amy,Wagner,franklinbond@example.com,2023-07-03,22,Brazil,one_time
305,Erin,Love,gdavis@example.com,2022-06-29,18,Sudan,regular
306,Brian,Anderson,dbryant@example.net,2018-09-17,47,Kyrgyz Republic,occasional
307,Emily,Parker,fosterlisa@example.net,2018-09-28,57,Cuba,one_time
308,Beth,Williams,isabella80@example.org,2024-12-10,54,Vietnam,frequent
309,Thomas,Mitchell,kaylacannon@example.net,2020-07-13,24,Oman,occasional
310,Tamara,Brooks,ywest@example.com,2020-07-09,22,Belgium,occasional
311,Felicia,Stanley,desireebailey@example.org,2023-06-04,52,Mauritania,one_time
312,Phillip,Anderson,maryavila@example.com,2024-08-06,31,Kyrgyz Republic,regular
313,Emily,Stephens,pmorrow@example.com,2024-12-08,50,Guatemala,occasional
314,Eric,Lopez,johnsondonna@example.net,2022-11-27,34,Seychelles,one_time
315,Sharon,Small,jamiegarcia@example.org,2020-07-15,26,Kiribati,one_time
316,Carla,Warner,sanchezbradley@example.com,2018-09-24,40,Djibouti,occasional
317,Amber,Webster,taylorvictoria@example.org,2023-02-11,74,Suriname,occasional
318,Sabrina,Johnston,joel28@example.org,2021-04-23,22,Isle of Man,occasional
319,Kevin,Brown,conniesimmons@example.com,2020-09-21,74,Australia,one_time
320,Teresa,David,ufloyd@example.net,2024-03-29,33,Israel,occasional
321,Ricky,Evans,karenwells@example.org,2018-12-21,41,French Southern Territories,frequent
322,Meredith,Thomas,jmelendez@example.com,2021-01-08,36,Israel,one_time
323,Angela,Anderson,jonathanrivera@example.org,2018-02-06,28,Uzbekistan,occasional
324,Shannon,Watson,brettbennett@example.net,2020-12-01,46,Netherlands,occasional
325,Benjamin,Jones,timothybooth@example.com,2018-06-29,71,Gabon,regular
326,Susan,Smith,suzannewilson@example.com,2019-01-15,52,United States Virgin Islands,occasional
327,John,Munoz,randyallen@example.com,2019-01-10,63,Singapore,occasional
328,Justin,Owens,kyle58@example.com,2021-12-29,37,Lao People's Democratic Republic,occasional
329,Corey,Zavala,ugill@example.org,2022-11-03,57,Heard Island and McDonald Islands,regular
330,Lawrence,Williams,joycesmith@example.net,2021-06-02,69,Vietnam,occasional
331,Brandy,Cortez,elijah53@example.com,2024-09-23,59,Montenegro,one_time
332,Martha,Porter,jonathan77@example.com,2020-07-14,51,Chile,frequent
333,Jessica,Bell,jenniferfreeman@example.net,2020-04-10,18,Norway,one_time
334,Susan,Warren,landryelizabeth@example.org,2023-11-29,60,Isle of Man,occasional
335,Derrick,Mccoy,mannalbert@example.net,2019-12-15,70,Korea,one_time
336,Nathaniel,Williamson,bhopkins@example.org,2024-09-26,53,Martinique,one_time
337,Andrea,Smith,amanda40@example.net,2018-02-08,37,Suriname,occasional
338,Heidi,Jordan,danieldavis@example.org,2024-10-17,60,Dominican Republic,one_time
339,James,Fox,joseph61@example.com,2018-05-18,24,Iraq,one_time
340,Stephen,Sanchez,kevinclayton@example.org,2024-02-09,74,Palau,occasional
341,Victoria,Santos,davisnicholas@example.net,2021-03-05,26,Lebanon,occasional
342,Brian,Smith,christopherbruce@example.net,2024-12-30,34,Slovenia,occasional
343,Mark,Madden,jacobsonsamantha@example.org,2018-08-24,25,Croatia,one_time
